Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
593,DN14,2014,sparse,32,32180,RIL_103,unknown,NA,25.981925139665,27.0110461592458
594,DN14,2014,sparse,32,32181,RIL_209,unknown,10.553386492631,47.711588527174,44.7066990817589
595,DN14,2014,sparse,32,32182,RIL_158,unknown,6.08783157492232,35.052532741793,37.7252383614153
596,DN14,2014,sparse,32,32183,RIL_084,unknown,9.36207587158499,38.2176335787456,43.067939020123
597,DN14,2014,sparse,32,32184,RIL_211,unknown,6.48556827313323,39.3240474108955,41.585117116798
598,DN14,2014,sparse,32,32185,RIL_152,unknown,9.85835919413011,39.8855695833801,44.5341488537165
599,DN14,2014,sparse,32,32186,RIL_057,unknown,4.78013282836369,30.4493320218978,42.4579494320885
600,DN14,2014,sparse,32,32187,A10,unknown,7.80436476228835,16.0016399192408,NA
601,DN14,2014,sparse,32,32188,RIL_010,unknown,5.51538831529282,39.742983323322,43.0270986059756
602,DN14,2014,sparse,32,32189,RIL_217,unknown,7.00588901021555,24.6351542124767,26.1428861800598
603,DN14,2014,sparse,32,32190,RIL_060,unknown,6.43939291764553,39.7266851502559,43.0777097444776
604,DN14,2014,sparse,32,32191,RIL_008,unknown,9.18142214310693,44.9195929548942,49.2545215070322
605,DN14,2014,sparse,32,32192,RIL_138,unknown,6.44534008470499,33.4545332030501,33.6545803356519
606,DN14,2014,sparse,32,32193,RIL_212,unknown,8.51714220395158,43.1286043557277,44.6579097764174
607,DN14,2014,sparse,32,32194,RIL_137,unknown,10.3765317113264,50.7945338192894,56.8728741470168
608,DN14,2014,sparse,32,32195,RIL_167,unknown,6.62219486600962,33.3180564824648,35.2993261367954
609,DN14,2014,sparse,32,32196,RIL_118,unknown,5.89098707255324,41.8940145065551,46.9147489830416
610,DN14,2014,sparse,32,32197,RIL_215,unknown,8.43402357575954,61.5093039476673,59.3973527226307
611,DN14,2014,sparse,32,32198,RIL_095,unknown,10.3303563558387,42.140148801313,47.921535545694
612,DN14,2014,sparse,32,32199,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
613,DN14,2014,sparse,32,32200,RIL_119,unknown,7.15251046362417,44.6554623814712,40.1869380415282
614,DN14,2014,sparse,32,32201,RIL_130,unknown,7.94798386004598,34.4047759303507,41.975838368112
615,DN14,2014,sparse,32,32203,RIL_181,unknown,5.30640073250548,24.4545449497365,29.5652038462661
616,DN14,2014,sparse,32,32204,RIL_174,unknown,5.4530221859141,25.2795148127212,26.8191661954748
617,DN14,2014,sparse,32,32205,RIL_163,unknown,5.4068468304264,28.0956162031388,NA
618,DN14,2014,sparse,32,32206,RIL_107,unknown,13.3596813210579,47.3011431427419,47.5340197525091
619,DN14,2014,sparse,32,32207,RIL_068,unknown,4.5340692511549,29.1317181140708,28.4834393234227
620,DN14,2014,sparse,32,32208,RIL_109,unknown,7.89776081108553,42.8225324042397,47.7822359501348
